pubID,pseudogroup,is_cp,weeks,KD_fix,Kon,Koff,Ligand,Analyte
G002-595,6.0,True,24.0,5e-05,,,G002-595_3_24_Cg28v2_VRC01c_2040,001428_MD39_L14_m2
G002-630,5.0,True,24.0,5e-05,,,G002-630_2_24_Cg28v2_VRC01c_2007,001428_MD39_L14_m2
G002-678,4.0,True,24.0,5e-05,,,G002-678_1_24_Cg28v2_VRC01c_2027,001428_MD39_L14_m2
G002-796,2.0,True,16.0,5e-05,,,G002-796_3_16_Cg28v2_VRC01c_2045,001428_MD39_L14_m2
G002-820,1.0,True,8.0,5e-05,,,G002-820_2_8_Cg28v2_VRC01c_2122,001428_MD39_L14_m2
G002-852,4.0,True,24.0,5e-05,,,G002-852_1_24_Cg28v2_VRC01c_2036,001428_MD39_L14_m2
G002-119,5.0,True,24.0,5e-05,,,G002-119_2_24_Cg28v2_VRC01c_2033,001428_MD39_L14_m2
G002-145,1.0,True,8.0,5e-05,,,G002-145_2_8_Cg28v2_VRC01c_2089,001428_MD39_L14_m2
G002-947,3.0,True,16.0,5e-05,,,G002-947_2_16_Cg28v2_VRC01c_2081,001428_MD39_L14_m2
G002-957,1.0,True,8.0,5e-05,,,G002-957_2_8_Cg28v2_VRC01c_2119,001428_MD39_L14_m2
G002-462,2.0,True,16.0,5e-05,,,G002-462_3_16_Cg28v2_VRC01c_2064,001428_MD39_L14_m2
G002-509,4.0,True,24.0,5e-05,,,G002-509_1_24_Cg28v2_VRC01c_2067,001428_MD39_L14_m2
G002-620,3.0,True,16.0,5e-05,,,G002-620_2_16_Cg28v2_VRC01c_2111,001428_MD39_L14_m2
G002-758,4.0,True,24.0,5e-05,,,G002-758_1_24_Cg28v2_VRC01c_2058,001428_MD39_L14_m2
G002-813,4.0,True,24.0,5e-05,,,G002-813_1_24_Cg28v2_VRC01c_2062,001428_MD39_L14_m2
G002-831,5.0,True,24.0,5e-05,,,G002-831_2_24_Cg28v2_VRC01c_2016,001428_MD39_L14_m2
G002-136,5.0,True,24.0,5e-05,,,G002-136_2_24_Cg28v2_VRC01c_2003,001428_MD39_L14_m2
G002-230,1.0,True,8.0,5e-05,,,G002-230_2_8_Cg28v2_VRC01c_2115,001428_MD39_L14_m2
G002-931,6.0,True,24.0,5e-05,,,G002-931_3_24_Cg28v2_VRC01c_2030,001428_MD39_L14_m2
G002-302,4.0,True,24.0,5e-05,,,G002-302_1_24_Cg28v2_VRC01c_2050,001428_MD39_L14_m2
G002-957,3.0,True,16.0,5e-05,,,G002-957_2_16_Cg28v2_VRC01c_2061,001428_MD39_L14_m2
G002-341,1.0,True,8.0,5e-05,,,G002-341_2_8_Cg28v2_VRC01c_2125,001428_MD39_L14_m2
G002-997,6.0,True,24.0,5e-05,,,G002-997_3_24_Cg28v2_VRC01c_2051,001428_MD39_L14_m2
G002-477,2.0,True,16.0,5e-05,,,G002-477_3_16_Cg28v2_VRC01c_2065,001428_MD39_L14_m2
G002-546,4.0,True,24.0,5e-05,,,G002-546_1_24_Cg28v2_VRC01c_2075,001428_MD39_L14_m2
G002-616,2.0,True,16.0,5e-05,,,G002-616_1_16_Cg28v2_VRC01c_2056,001428_MD39_L14_m2
G002-630,1.0,True,8.0,5e-05,,,G002-630_2_8_Cg28v2_VRC01c_2116,001428_MD39_L14_m2
G002-796,6.0,True,24.0,5e-05,,,G002-796_3_24_Cg28v2_VRC01c_2009,001428_MD39_L14_m2
G002-855,3.0,True,16.0,5e-05,,,G002-855_2_16_Cg28v2_VRC01c_2020,001428_MD39_L14_m2
G002-119,1.0,True,8.0,5e-05,,,G002-119_2_8_Cg28v2_VRC01c_2109,001428_MD39_L14_m2
G002-855,1.0,True,8.0,5e-05,,,G002-855_2_8_Cg28v2_VRC01c_2093,001428_MD39_L14_m2
G002-230,3.0,True,16.0,5e-05,,,G002-230_2_16_Cg28v2_VRC01c_2042,001428_MD39_L14_m2
G002-905,4.0,True,24.0,5e-05,,,G002-905_1_24_Cg28v2_VRC01c_2079,001428_MD39_L14_m2
G002-293,5.0,True,24.0,5e-05,,,G002-293_2_24_Cg28v2_VRC01c_2008,001428_MD39_L14_m2
G002-947,5.0,True,24.0,5e-05,,,G002-947_2_24_Cg28v2_VRC01c_2037,001428_MD39_L14_m2
G002-988,2.0,True,16.0,5e-05,,,G002-988_3_16_Cg28v2_VRC01c_2018,001428_MD39_L14_m2
G002-462,2.0,True,16.0,5e-05,,,G002-462_3_16_Cg28v2_VRC01c_2084,001428_MD39_L14_m2
G002-509,4.0,True,24.0,5e-05,,,G002-509_1_24_Cg28v2_VRC01c_2099,001428_MD39_L14_m2
G002-595,2.0,True,16.0,5e-05,,,G002-595_3_16_Cg28v2_VRC01c_2086,001428_MD39_L14_m2
G002-630,3.0,True,16.0,5e-05,,,G002-630_2_16_Cg28v2_VRC01c_2015,001428_MD39_L14_m2
G002-758,4.0,True,24.0,5e-05,,,G002-758_1_24_Cg28v2_VRC01c_2060,001428_MD39_L14_m2
G002-820,3.0,True,16.0,5e-05,,,G002-820_2_16_Cg28v2_VRC01c_2024,001428_MD39_L14_m2
G002-831,1.0,True,8.0,5e-05,,,G002-831_2_8_Cg28v2_VRC01c_2105,001428_MD39_L14_m2
G002-136,1.0,True,8.0,5e-05,,,G002-136_2_8_Cg28v2_VRC01c_2043,001428_MD39_L14_m2
G002-884,2.0,True,16.0,5e-05,,,G002-884_3_16_Cg28v2_VRC01c_2087,001428_MD39_L14_m2
G002-278,2.0,True,16.0,5e-05,,,G002-278_3_16_Cg28v2_VRC01c_2088,001428_MD39_L14_m2
G002-304,2.0,True,16.0,5e-05,,,G002-304_3_16_Cg28v2_VRC01c_2096,001428_MD39_L14_m2
G002-427,2.0,True,16.0,5e-05,,,G002-427_3_16_Cg28v2_VRC01c_2121,001428_MD39_L14_m2
G002-480,3.0,True,16.0,5e-05,,,G002-480_2_16_Cg28v2_VRC01c_2104,001428_MD39_L14_m2
G002-577,3.0,True,16.0,5e-05,,,G002-577_2_16_Cg28v2_VRC01c_2017,001428_MD39_L14_m2
G002-619,2.0,True,16.0,5e-05,,,G002-619_1_16_Cg28v2_VRC01c_2083,001428_MD39_L14_m2
G002-630,1.0,True,8.0,5e-05,,,G002-630_2_8_Cg28v2_VRC01c_2117,001428_MD39_L14_m2
G002-796,6.0,True,24.0,5e-05,,,G002-796_3_24_Cg28v2_VRC01c_2019,001428_MD39_L14_m2
G002-825,6.0,True,24.0,5e-05,,,G002-825_3_24_Cg28v2_VRC01c_2021,001428_MD39_L14_m2
G002-855,3.0,True,16.0,5e-05,,,G002-855_2_16_Cg28v2_VRC01c_2026,001428_MD39_L14_m2
G002-119,3.0,True,16.0,5e-05,,,G002-119_2_16_Cg28v2_VRC01c_0548,001428_MD39_L14_m2
G002-230,3.0,True,16.0,5e-05,,,G002-230_2_16_Cg28v2_VRC01c_0539,001428_MD39_L14_m2
G002-302,2.0,True,16.0,5e-05,,,G002-302_1_16_Cg28v2_VRC01c_0525,001428_MD39_L14_m2
G002-480,5.0,True,24.0,5e-05,,,G002-480_2_24_Cg28v2_VRC01c_0530,001428_MD39_L14_m2
G002-577,5.0,True,24.0,5e-05,,,G002-577_2_24_Cg28v2_VRC01c_0508,001428_MD39_L14_m2
G002-678,2.0,True,16.0,5e-05,,,G002-678_1_16_Cg28v2_VRC01c_0543,001428_MD39_L14_m2
G002-834,4.0,True,24.0,5e-05,,,G002-834_1_24_Cg28v2_VRC01c_0571,001428_MD39_L14_m2
G002-931,2.0,True,16.0,5e-05,,,G002-931_3_16_Cg28v2_VRC01c_0540,001428_MD39_L14_m2
G002-988,2.0,True,16.0,5e-05,,,G002-988_3_16_Cg28v2_VRC01c_0555,001428_MD39_L14_m2
G002-136,1.0,True,8.0,5e-05,,,G002-136_2_8_Cg28v2_VRC01c_0523,001428_MD39_L14_m2
G002-278,6.0,True,24.0,5e-05,,,G002-278_3_24_Cg28v2_VRC01c_0532,001428_MD39_L14_m2
G002-427,2.0,True,16.0,5e-05,,,G002-427_3_16_Cg28v2_VRC01c_0558,001428_MD39_L14_m2
G002-502,4.0,True,24.0,5e-05,,,G002-502_1_24_Cg28v2_VRC01c_0535,001428_MD39_L14_m2
G002-619,2.0,True,16.0,5e-05,,,G002-619_1_16_Cg28v2_VRC01c_0552,001428_MD39_L14_m2
G002-813,4.0,True,24.0,5e-05,,,G002-813_1_24_Cg28v2_VRC01c_0534,001428_MD39_L14_m2
G002-884,2.0,True,16.0,5e-05,,,G002-884_3_16_Cg28v2_VRC01c_0560,001428_MD39_L14_m2
G002-943,1.0,True,8.0,5e-05,,,G002-943_2_8_Cg28v2_VRC01c_0566,001428_MD39_L14_m2
G002-866,2.0,True,16.0,5e-05,,,G002-866_3_16_Cg28v2_VRC01c_0519,001428_MD39_L14_m2
G002-119,5.0,True,24.0,5e-05,,,G002-119_2_24_Cg28v2_VRC01c_0521,001428_MD39_L14_m2
G002-230,5.0,True,24.0,5e-05,,,G002-230_2_24_Cg28v2_VRC01c_0517,001428_MD39_L14_m2
G002-302,4.0,True,24.0,5e-05,,,G002-302_1_24_Cg28v2_VRC01c_0526,001428_MD39_L14_m2
G002-480,1.0,True,8.0,5e-05,,,G002-480_2_8_Cg28v2_VRC01c_0557,001428_MD39_L14_m2
G002-577,1.0,True,8.0,5e-05,,,G002-577_2_8_Cg28v2_VRC01c_0574,001428_MD39_L14_m2
G002-678,4.0,True,24.0,5e-05,,,G002-678_1_24_Cg28v2_VRC01c_0513,001428_MD39_L14_m2
G002-852,2.0,True,16.0,5e-05,,,G002-852_1_16_Cg28v2_VRC01c_0570,001428_MD39_L14_m2
G002-931,6.0,True,24.0,5e-05,,,G002-931_3_24_Cg28v2_VRC01c_0518,001428_MD39_L14_m2
G002-988,6.0,True,24.0,5e-05,,,G002-988_3_24_Cg28v2_VRC01c_0538,001428_MD39_L14_m2
G002-145,3.0,True,16.0,5e-05,,,G002-145_2_16_Cg28v2_VRC01c_0509,001428_MD39_L14_m2
G002-293,3.0,True,16.0,5e-05,,,G002-293_2_16_Cg28v2_VRC01c_0536,001428_MD39_L14_m2
G002-427,6.0,True,24.0,5e-05,,,G002-427_3_24_Cg28v2_VRC01c_0559,001428_MD39_L14_m2
G002-546,2.0,True,16.0,5e-05,,,G002-546_1_16_Cg28v2_VRC01c_0569,001428_MD39_L14_m2
G002-619,4.0,True,24.0,5e-05,,,G002-619_1_24_Cg28v2_VRC01c_0522,001428_MD39_L14_m2
G002-820,3.0,True,16.0,5e-05,,,G002-820_2_16_Cg28v2_VRC01c_0520,001428_MD39_L14_m2
G002-884,6.0,True,24.0,5e-05,,,G002-884_3_24_Cg28v2_VRC01c_0537,001428_MD39_L14_m2
G002-947,3.0,True,16.0,5e-05,,,G002-947_2_16_Cg28v2_VRC01c_0524,001428_MD39_L14_m2
G002-136,3.0,True,16.0,5e-05,,,G002-136_2_16_Cg28v2_VRC01c_0563,001428_MD39_L14_m2
G002-230,1.0,True,8.0,5e-05,,,G002-230_2_8_Cg28v2_VRC01c_0568,001428_MD39_L14_m2
G002-304,2.0,True,16.0,5e-05,,,G002-304_3_16_Cg28v2_VRC01c_0562,001428_MD39_L14_m2
G002-493,3.0,True,16.0,5e-05,,,G002-493_2_16_Cg28v2_VRC01c_0553,001428_MD39_L14_m2
G002-616,2.0,True,16.0,5e-05,,,G002-616_1_16_Cg28v2_VRC01c_0531,001428_MD39_L14_m2
G002-810,2.0,True,16.0,5e-05,,,G002-810_3_16_Cg28v2_VRC01c_0545,001428_MD39_L14_m2
G002-852,4.0,True,24.0,5e-05,,,G002-852_1_24_Cg28v2_VRC01c_0528,001428_MD39_L14_m2
G002-943,3.0,True,16.0,5e-05,,,G002-943_2_16_Cg28v2_VRC01c_0516,001428_MD39_L14_m2
G002-997,2.0,True,16.0,5e-05,,,G002-997_3_16_Cg28v2_VRC01c_0542,001428_MD39_L14_m2
G002-145,5.0,True,24.0,5e-05,,,G002-145_2_24_Cg28v2_VRC01c_0510,001428_MD39_L14_m2
G002-293,5.0,True,24.0,5e-05,,,G002-293_2_24_Cg28v2_VRC01c_0515,001428_MD39_L14_m2
G002-477,2.0,True,16.0,5e-05,,,G002-477_3_16_Cg28v2_VRC01c_0547,001428_MD39_L14_m2
G002-546,4.0,True,24.0,5e-05,,,G002-546_1_24_Cg28v2_VRC01c_0541,001428_MD39_L14_m2
G002-620,3.0,True,16.0,5e-05,,,G002-620_2_16_Cg28v2_VRC01c_0567,001428_MD39_L14_m2
G002-820,5.0,True,24.0,5e-05,,,G002-820_2_24_Cg28v2_VRC01c_0511,001428_MD39_L14_m2
G002-905,2.0,True,16.0,5e-05,,,G002-905_1_16_Cg28v2_VRC01c_0575,001428_MD39_L14_m2
G002-947,5.0,True,24.0,5e-05,,,G002-947_2_24_Cg28v2_VRC01c_0529,001428_MD39_L14_m2
G002-136,5.0,True,24.0,5e-05,,,G002-136_2_24_Cg28v2_VRC01c_0507,001428_MD39_L14_m2
G002-278,2.0,True,16.0,5e-05,,,G002-278_3_16_Cg28v2_VRC01c_0556,001428_MD39_L14_m2
G002-304,6.0,True,24.0,5e-05,,,G002-304_3_24_Cg28v2_VRC01c_0514,001428_MD39_L14_m2
G002-493,5.0,True,24.0,5e-05,,,G002-493_2_24_Cg28v2_VRC01c_0565,001428_MD39_L14_m2
G002-616,4.0,True,24.0,5e-05,,,G002-616_1_24_Cg28v2_VRC01c_0533,001428_MD39_L14_m2
G002-813,2.0,True,16.0,5e-05,,,G002-813_1_16_Cg28v2_VRC01c_0549,001428_MD39_L14_m2
G002-866,6.0,True,24.0,5e-05,,,G002-866_3_24_Cg28v2_VRC01c_0544,001428_MD39_L14_m2
G002-943,5.0,True,24.0,5e-05,,,G002-943_2_24_Cg28v2_VRC01c_0506,001428_MD39_L14_m2
G002-997,6.0,True,24.0,5e-05,,,G002-997_3_24_Cg28v2_VRC01c_0527,001428_MD39_L14_m2
G002-145,1.0,True,8.0,5e-05,,,G002-145_2_8_Cg28v2_VRC01c_0551,001428_MD39_L14_m2
G002-293,1.0,True,8.0,5e-05,,,G002-293_2_8_Cg28v2_VRC01c_0561,001428_MD39_L14_m2
G002-480,3.0,True,16.0,5e-05,,,G002-480_2_16_Cg28v2_VRC01c_0546,001428_MD39_L14_m2
G002-577,3.0,True,16.0,5e-05,,,G002-577_2_16_Cg28v2_VRC01c_0512,001428_MD39_L14_m2
G002-620,5.0,True,24.0,5e-05,,,G002-620_2_24_Cg28v2_VRC01c_0554,001428_MD39_L14_m2
G002-820,1.0,True,8.0,5e-05,,,G002-820_2_8_Cg28v2_VRC01c_0572,001428_MD39_L14_m2
G002-905,4.0,True,24.0,5e-05,,,G002-905_1_24_Cg28v2_VRC01c_0550,001428_MD39_L14_m2
G002-947,1.0,True,8.0,5e-05,,,G002-947_2_8_Cg28v2_VRC01c_0573,001428_MD39_L14_m2
